"earnings","counts","bunchr_cf_counts","bunchcount_cf_counts","diff","percent_diff"
0,44,NA,NA,NA,NA
50,449,NA,NA,NA,NA
100,839,NA,NA,NA,NA
150,1209,NA,NA,NA,NA
200,1498,NA,NA,NA,NA
250,1765,NA,NA,NA,NA
300,2135,NA,NA,NA,NA
350,2291,NA,NA,NA,NA
400,2570,NA,NA,NA,NA
450,2642,NA,NA,NA,NA
500,2776,2787.1429014245,2786.921,0.221901424501539,0.00796224308121898
550,2888,2852.89835129362,2853.592,-0.693648706381737,-0.0243079145996252
600,2885,2907.80060516564,2907.547,0.2536051656366,0.00872230666044607
650,2940,2945.67515263092,2944.981,0.69415263091787,0.0235706998081777
700,2942,2974.71865948899,2974.496,0.222659488993486,0.00748562072342628
750,3052,3006.39424458466,3007.002,-0.607755415344855,-0.0202113405759243
800,3039,3048.58078863928,3049.565,-0.984211360720565,-0.0322738279302315
850,3162,3102.26558122445,3102.533,-0.267418775551505,-0.00861936925575022
900,3088,3161.06961202549,3159.282,1.78761202548685,0.0565828572912089
950,2940,3212.8948125398,3207.908,4.98681253980203,0.155453726846344
1000,7122,3242.98255436085,3234.203,8.77955436084585,0.271459594862965
1050,3037,3237.67271019195,3225.247,12.4257101919534,0.385263832256983
1100,2979,3188.15258373052,3172.947,15.2055837305234,0.47922589726596
1150,2878,3093.4850145902,3076.86,16.6250145902018,0.540324050824599
1200,2778,2962.20496438339,2945.629,16.575964383389,0.562730893245177
1250,2554,2811.77389011672,2796.368,15.4058901167177,0.550924989726593
1300,2514,2665.18121108157,2651.332,13.8492110815664,0.522349184544463
1350,2323,2543.98217530642,2531.201,12.781175306417,0.504945095486966
1400,2333,2457.06143181957,2444.306,12.755431819573,0.521842675163134
1450,2189,2384.41161479196,2371.147,13.2646147919559,0.559417648587619
1500,2100,2255.21624571923,2243.519,11.6972457192319,0.521379391894247
1550,1952,NA,NA,NA,NA
1600,1789,NA,NA,NA,NA
1650,1704,NA,NA,NA,NA
1700,1603,NA,NA,NA,NA
1750,1483,NA,NA,NA,NA
1800,1371,NA,NA,NA,NA
1850,1376,NA,NA,NA,NA
1900,1202,NA,NA,NA,NA
1950,1105,NA,NA,NA,NA
2000,1015,NA,NA,NA,NA
2050,876,NA,NA,NA,NA
2100,804,NA,NA,NA,NA
2150,721,NA,NA,NA,NA
2200,697,NA,NA,NA,NA
2250,602,NA,NA,NA,NA
2300,524,NA,NA,NA,NA
2350,478,NA,NA,NA,NA
2400,443,NA,NA,NA,NA
2450,386,NA,NA,NA,NA
2500,349,NA,NA,NA,NA
2550,263,NA,NA,NA,NA
2600,280,NA,NA,NA,NA
2650,215,NA,NA,NA,NA
2700,151,NA,NA,NA,NA
2750,143,NA,NA,NA,NA
2800,108,NA,NA,NA,NA
2850,87,NA,NA,NA,NA
2900,72,NA,NA,NA,NA
2950,61,NA,NA,NA,NA
3000,48,NA,NA,NA,NA
3050,26,NA,NA,NA,NA
3100,27,NA,NA,NA,NA
3150,24,NA,NA,NA,NA
3200,16,NA,NA,NA,NA
3250,14,NA,NA,NA,NA
3300,11,NA,NA,NA,NA
3350,8,NA,NA,NA,NA
3400,2,NA,NA,NA,NA
3450,2,NA,NA,NA,NA
3500,1,NA,NA,NA,NA
